Transaction_ID,Vendor_Name,Award_Amount,Award_Agency,Award_Date,Award_Type,Performance_Country,Performance_State
TRX02680,Hernandez-Rogers,2817008.66,Department of Agriculture,2021-02-22,Cost-Reimbursement Contract,CAN,GA
TRX02681,Ramirez-Simpson,3169408.42,Department of Health and Human Services,2024-01-11,Time-and-Materials Contract,USA,PA
TRX02682,Mccormick Inc,4954544.54,Department of Transportation,2021-12-10,Indefinite Delivery Contract,USA,CA
TRX02683,Fisher and Sons,4985625.44,Department of Agriculture,2023-01-11,Time-and-Materials Contract,USA,NC
TRX02684,"Navarro, Campbell and Rollins",4549268.27,Department of Education,2023-02-28,Time-and-Materials Contract,MEX,CA
TRX02685,Johnson-Thornton,3914254.0,NASA,2023-08-16,Cost-Reimbursement Contract,CAN,CA
TRX02686,Jackson-Moore,3751238.58,Department of Transportation,2022-11-03,Time-and-Materials Contract,USA,FL
TRX02687,"Owens, Alvarez and Summers",3223521.04,NASA,2022-07-07,Indefinite Delivery Contract,USA,MI
TRX02688,Hunt Ltd,1655203.71,Department of Education,2022-06-21,Time-and-Materials Contract,USA,PA
TRX02689,Bates Inc,3744559.0,NASA,2022-08-24,Cost-Reimbursement Contract,CAN,TX
TRX02690,"Sanchez, Colon and Carr",2501719.68,NASA,2021-05-30,Fixed-Price Contract,CAN,FL
TRX02691,Allen-Miles,2477371.98,NASA,2023-10-29,Cost-Reimbursement Contract,CAN,TX
TRX02692,"Harris, Rangel and Stewart",1062396.86,Department of Health and Human Services,2022-03-15,Time-and-Materials Contract,USA,VA
TRX02693,Williamson Ltd,926131.73,Department of Education,2022-08-04,Indefinite Delivery Contract,USA,NY
TRX02694,"Pope, Tucker and Green",1021717.05,NASA,2023-08-03,Cost-Reimbursement Contract,CAN,VA
TRX02695,Warren-Best,1990787.67,Department of Energy,2021-02-04,Cost-Reimbursement Contract,CAN,GA
TRX02696,Nixon Group,4226839.96,Department of Energy,2023-06-16,Fixed-Price Contract,MEX,TX
TRX02697,Zimmerman Inc,4419891.55,Department of Transportation,2021-12-25,Fixed-Price Contract,CAN,NY
TRX02698,Garza LLC,4020476.63,NASA,2023-10-07,Time-and-Materials Contract,MEX,OH
TRX02699,Williams Inc,3349631.18,Department of Health and Human Services,2022-08-04,Indefinite Delivery Contract,USA,PA
TRX02700,Cruz Group,2167843.78,Department of Education,2021-10-27,Time-and-Materials Contract,USA,CA
TRX02701,Kline and Sons,2077618.11,Department of Energy,2024-01-21,Indefinite Delivery Contract,USA,OH
TRX02702,"Santos, Lewis and Smith",2645926.05,Department of Energy,2023-05-30,Fixed-Price Contract,MEX,FL
TRX02703,"Kane, Lopez and Armstrong",190478.57,NASA,2022-03-19,Cost-Reimbursement Contract,USA,PA
TRX02704,Gomez Group,549674.83,NASA,2021-11-28,Cost-Reimbursement Contract,MEX,NC
TRX02705,"Brown, Atkins and Young",78936.91,Department of Health and Human Services,2022-03-29,Time-and-Materials Contract,USA,NC
TRX02706,"Hudson, Wright and Acevedo",3917303.95,Department of Transportation,2021-07-31,Fixed-Price Contract,USA,PA
TRX02707,Bailey Inc,2695979.32,NASA,2022-12-09,Indefinite Delivery Contract,CAN,GA
TRX02708,"Boone, Reed and Schmidt",3176238.93,Department of Health and Human Services,2021-11-22,Time-and-Materials Contract,CAN,GA
TRX02709,Ochoa Ltd,1297907.73,NASA,2021-09-29,Cost-Reimbursement Contract,CAN,CA
TRX02710,"Cervantes, Williams and Nunez",3918890.7,Department of Energy,2021-07-07,Cost-Reimbursement Contract,USA,GA
TRX02711,Johnson Ltd,2838260.67,Department of Education,2022-09-15,Fixed-Price Contract,MEX,PA
TRX02712,"Davis, Alexander and Brown",4261053.94,Department of Health and Human Services,2022-05-19,Fixed-Price Contract,MEX,OH
TRX02713,Davidson-Murphy,1563927.42,Department of Defense,2022-01-04,Fixed-Price Contract,MEX,PA
TRX02714,"Beard, Gonzalez and Reeves",1567530.92,Department of Energy,2021-06-03,Cost-Reimbursement Contract,CAN,GA
TRX02715,"Cook, Ramos and Thornton",1069197.26,Department of Defense,2022-02-01,Cost-Reimbursement Contract,CAN,NY
TRX02716,"Olson, Bennett and Neal",4912517.8,Department of Energy,2021-08-05,Time-and-Materials Contract,USA,PA
TRX02717,Russell Ltd,4657281.76,Department of Health and Human Services,2022-01-22,Indefinite Delivery Contract,MEX,TX
TRX02718,Jones Group,4754355.53,NASA,2022-01-05,Cost-Reimbursement Contract,USA,OH
TRX02719,Wang-Thompson,4121161.31,Department of Health and Human Services,2022-03-23,Indefinite Delivery Contract,USA,TX
TRX02720,Stewart-Green,1247955.18,NASA,2023-11-15,Cost-Reimbursement Contract,CAN,NY
TRX02721,Andrews-Blair,2150005.75,Department of Education,2021-11-29,Indefinite Delivery Contract,MEX,PA
TRX02722,Kelley-Walters,3322824.62,Department of Energy,2022-09-23,Time-and-Materials Contract,MEX,NC
TRX02723,"Williamson, Mathis and Bell",2487203.64,Department of Defense,2022-04-21,Fixed-Price Contract,CAN,NY
TRX02724,Johnson PLC,4421514.02,NASA,2021-07-11,Fixed-Price Contract,USA,NY
TRX02725,"Hill, Stokes and Phillips",1036244.28,Department of Agriculture,2021-11-08,Cost-Reimbursement Contract,CAN,GA
TRX02726,"Ray, Ramos and Lopez",355156.63,Department of Health and Human Services,2022-05-23,Cost-Reimbursement Contract,MEX,CA
TRX02727,"Snyder, Suarez and Whitaker",3743994.8,Department of Agriculture,2023-01-21,Fixed-Price Contract,USA,GA
TRX02728,Gonzalez-Knight,3350055.23,Department of Education,2023-02-28,Fixed-Price Contract,USA,NY
TRX02729,"Baldwin, Ellis and Hester",3958753.35,Department of Energy,2021-06-12,Fixed-Price Contract,CAN,TX
TRX02730,"Campbell, Lopez and Lewis",4255650.82,Department of Health and Human Services,2021-04-03,Fixed-Price Contract,CAN,TX
TRX02731,"Kim, Kelly and Gibbs",3364009.77,Department of Energy,2022-11-13,Indefinite Delivery Contract,USA,NY
TRX02732,George-Shaffer,2539792.43,Department of Education,2022-12-06,Indefinite Delivery Contract,MEX,PA
TRX02733,"Reynolds, Taylor and Evans",4234021.58,NASA,2021-10-03,Time-and-Materials Contract,USA,NY
TRX02734,"Werner, Mcgee and Hall",4072022.55,Department of Energy,2021-01-13,Cost-Reimbursement Contract,MEX,OH
TRX02735,Quinn Ltd,2629796.36,Department of Education,2021-02-21,Fixed-Price Contract,USA,VA
TRX02736,Gray-Fitzgerald,126631.43,Department of Energy,2023-05-26,Cost-Reimbursement Contract,MEX,VA
TRX02737,"Reyes, Arnold and Farrell",687721.18,Department of Health and Human Services,2021-01-11,Time-and-Materials Contract,USA,CA
TRX02738,Martinez-Cruz,2899603.71,NASA,2021-09-22,Cost-Reimbursement Contract,CAN,OH
TRX02739,Anderson Ltd,2256230.55,Department of Education,2023-06-21,Fixed-Price Contract,MEX,GA
TRX02740,Mills-Harris,1354223.1,Department of Education,2023-09-16,Time-and-Materials Contract,USA,PA
TRX02741,Weaver-Jones,2750366.2,Department of Energy,2022-09-22,Time-and-Materials Contract,MEX,OH
TRX02742,Pitts Ltd,4399223.79,Department of Transportation,2021-11-22,Time-and-Materials Contract,MEX,FL
TRX02743,"Bailey, Norris and Brewer",4974369.29,NASA,2023-01-27,Cost-Reimbursement Contract,MEX,OH
TRX02744,Wilson-French,357494.65,Department of Energy,2022-07-19,Fixed-Price Contract,MEX,FL
TRX02745,Jones-Hall,4334306.34,Department of Defense,2023-11-10,Indefinite Delivery Contract,MEX,FL
TRX02746,Cummings-Smith,2350598.12,Department of Education,2021-01-17,Time-and-Materials Contract,CAN,PA
TRX02747,"Marshall, Sims and Webster",4401671.56,NASA,2022-07-26,Time-and-Materials Contract,MEX,OH
TRX02748,Stephens Ltd,323687.14,Department of Health and Human Services,2021-12-29,Indefinite Delivery Contract,MEX,NY
TRX02749,Johnson Inc,1310274.62,Department of Transportation,2024-02-07,Time-and-Materials Contract,USA,MI
TRX02750,Miranda PLC,623030.29,Department of Health and Human Services,2021-07-31,Time-and-Materials Contract,CAN,TX
TRX02751,Bradley Group,64475.01,Department of Defense,2021-07-02,Cost-Reimbursement Contract,USA,GA
TRX02752,Gonzalez-Smith,1058819.96,NASA,2022-06-20,Indefinite Delivery Contract,USA,TX
TRX02753,Garrett-Moore,2085948.52,NASA,2024-02-07,Fixed-Price Contract,MEX,CA
TRX02754,Smith-Hayes,2688834.69,Department of Agriculture,2023-04-28,Cost-Reimbursement Contract,CAN,FL
TRX02755,"Steele, Baker and Perry",3055207.75,Department of Transportation,2021-04-18,Indefinite Delivery Contract,USA,FL
TRX02756,Rodriguez-Parsons,4100425.11,Department of Agriculture,2021-11-01,Indefinite Delivery Contract,USA,NC
TRX02757,Walker-Green,4919846.02,Department of Agriculture,2022-12-23,Time-and-Materials Contract,USA,NC
TRX02758,Jacobs-King,1019653.49,Department of Agriculture,2023-12-28,Time-and-Materials Contract,CAN,VA
TRX02759,Quinn-Williams,4425282.05,Department of Agriculture,2022-09-09,Time-and-Materials Contract,MEX,TX
TRX02760,Lee-Jackson,3356313.12,Department of Defense,2021-03-28,Time-and-Materials Contract,CAN,FL
TRX02761,Wyatt-Wall,2197934.2,Department of Energy,2021-06-15,Fixed-Price Contract,MEX,FL
TRX02762,"Clayton, Lamb and Moore",265655.15,Department of Defense,2021-01-01,Cost-Reimbursement Contract,CAN,OH
TRX02763,Quinn-Brown,4035358.4,Department of Energy,2021-02-25,Cost-Reimbursement Contract,USA,PA
TRX02764,Davies-Hall,2757687.05,NASA,2023-06-23,Time-and-Materials Contract,CAN,FL
TRX02765,"Jones, Campbell and Mccullough",3477909.87,Department of Agriculture,2021-04-18,Fixed-Price Contract,USA,FL
TRX02766,"Watson, Cantu and Macias",2724878.36,Department of Education,2022-09-27,Cost-Reimbursement Contract,USA,TX
TRX02767,"Brown, Gonzalez and Washington",2267675.02,NASA,2022-03-27,Time-and-Materials Contract,MEX,PA
TRX02768,"Conley, Johnson and Day",1307338.16,Department of Defense,2024-01-29,Indefinite Delivery Contract,USA,PA
TRX02769,"Blair, Wilson and Douglas",2699127.66,Department of Transportation,2024-02-05,Time-and-Materials Contract,CAN,OH
TRX02770,Jones Ltd,3523090.63,Department of Defense,2023-09-25,Cost-Reimbursement Contract,CAN,NY
TRX02771,Vasquez-Robinson,2771134.02,Department of Energy,2024-03-04,Indefinite Delivery Contract,MEX,MI
TRX02772,Gilbert-Alvarez,3629097.46,Department of Energy,2021-07-04,Cost-Reimbursement Contract,MEX,CA
TRX02773,Smith Group,109577.72,NASA,2022-03-16,Time-and-Materials Contract,CAN,NY
TRX02774,Martinez Inc,1618392.79,Department of Defense,2024-03-30,Time-and-Materials Contract,CAN,TX
TRX02775,Frank Inc,1048364.64,Department of Agriculture,2022-08-01,Fixed-Price Contract,CAN,GA
TRX02776,Farrell-Torres,3083333.88,NASA,2022-02-25,Time-and-Materials Contract,CAN,GA
TRX02777,Ballard-Pearson,2067247.11,Department of Defense,2023-01-03,Indefinite Delivery Contract,MEX,NC
TRX02778,Gilbert LLC,4904040.41,Department of Transportation,2023-01-14,Time-and-Materials Contract,MEX,VA
TRX02779,Wilson Inc,626637.43,Department of Health and Human Services,2022-08-03,Indefinite Delivery Contract,USA,MI
TRX02780,Smith-Camacho,950309.39,Department of Education,2021-05-07,Time-and-Materials Contract,MEX,PA
TRX02781,Peterson Ltd,4129592.76,Department of Transportation,2021-04-23,Time-and-Materials Contract,MEX,NY
TRX02782,Clark PLC,4978433.77,Department of Transportation,2022-09-26,Fixed-Price Contract,CAN,TX
TRX02783,"Collins, Robinson and Alexander",4805573.56,Department of Energy,2023-05-05,Time-and-Materials Contract,MEX,PA
TRX02784,"Butler, Trevino and Peters",693742.66,Department of Transportation,2023-10-23,Cost-Reimbursement Contract,CAN,NC
TRX02785,Webb Ltd,4556054.88,Department of Agriculture,2023-05-13,Time-and-Materials Contract,USA,MI
TRX02786,"Medina, Rojas and Howe",3760903.38,Department of Agriculture,2022-03-04,Indefinite Delivery Contract,USA,CA
TRX02787,"Lewis, Scott and Morris",4513746.3,NASA,2021-10-06,Fixed-Price Contract,CAN,MI
TRX02788,"Ryan, Conley and Sharp",4015995.55,Department of Health and Human Services,2023-05-12,Fixed-Price Contract,USA,FL
TRX02789,"White, Bautista and Walker",3758413.2,Department of Defense,2022-05-31,Cost-Reimbursement Contract,CAN,GA
TRX02790,Woods Group,1124148.04,Department of Energy,2022-11-23,Indefinite Delivery Contract,USA,GA
TRX02791,"Thomas, Holt and White",1446501.92,NASA,2023-11-09,Cost-Reimbursement Contract,MEX,OH
TRX02792,Combs Ltd,3258137.09,Department of Defense,2022-07-27,Cost-Reimbursement Contract,USA,NC
TRX02793,Rasmussen-Simon,1475988.71,Department of Transportation,2021-08-19,Indefinite Delivery Contract,MEX,OH
TRX02794,Schroeder Group,606243.35,Department of Energy,2021-12-19,Fixed-Price Contract,CAN,VA
TRX02795,Newman-Torres,607081.49,Department of Education,2023-07-21,Time-and-Materials Contract,USA,OH
TRX02796,Arias-Cooper,2767063.14,Department of Energy,2023-08-20,Indefinite Delivery Contract,USA,PA
TRX02797,"Jimenez, Harper and Stone",814754.89,NASA,2022-03-29,Time-and-Materials Contract,CAN,GA
TRX02798,Wagner-Torres,965582.38,NASA,2021-07-30,Indefinite Delivery Contract,CAN,FL
TRX02799,Sanford-Pope,1292104.62,NASA,2023-04-28,Time-and-Materials Contract,CAN,GA
TRX02800,"Fowler, Contreras and Pena",73095.4,NASA,2023-04-06,Fixed-Price Contract,USA,FL
TRX02801,Stevens-Jones,2010505.81,Department of Health and Human Services,2023-12-10,Cost-Reimbursement Contract,CAN,PA
TRX02802,"West, Walters and Martinez",2374346.86,Department of Defense,2021-07-19,Fixed-Price Contract,USA,MI
TRX02803,Macdonald Inc,774361.76,Department of Health and Human Services,2021-04-22,Indefinite Delivery Contract,MEX,OH
TRX02804,Moss Ltd,2651231.43,NASA,2022-07-06,Indefinite Delivery Contract,MEX,PA
TRX02805,Moore Ltd,743283.57,NASA,2023-06-24,Fixed-Price Contract,CAN,MI
TRX02806,King Inc,2089109.57,Department of Agriculture,2021-10-26,Cost-Reimbursement Contract,CAN,VA
TRX02807,"Harris, Le and Hernandez",4370237.24,Department of Transportation,2021-07-13,Cost-Reimbursement Contract,MEX,TX
TRX02808,Morales and Sons,3175940.16,Department of Agriculture,2022-01-22,Cost-Reimbursement Contract,USA,VA
TRX02809,Macdonald-Martin,4490264.32,Department of Transportation,2024-02-01,Cost-Reimbursement Contract,CAN,GA
TRX02810,"Ward, Kim and Miller",1684964.03,Department of Transportation,2022-11-24,Time-and-Materials Contract,CAN,FL
TRX02811,Hall and Sons,588111.02,Department of Energy,2021-02-13,Cost-Reimbursement Contract,CAN,VA
TRX02812,"Sanders, Evans and David",1729451.06,Department of Health and Human Services,2021-12-14,Indefinite Delivery Contract,MEX,MI
TRX02813,Larsen Ltd,4890584.9,Department of Agriculture,2021-08-01,Time-and-Materials Contract,MEX,CA
TRX02814,"Brown, Anderson and Gilbert",2829227.76,Department of Agriculture,2023-08-13,Cost-Reimbursement Contract,MEX,OH
TRX02815,"Nguyen, Ochoa and Valdez",430531.31,Department of Defense,2024-02-16,Cost-Reimbursement Contract,CAN,GA
TRX02816,"Smith, Norris and Ortiz",1672075.22,Department of Transportation,2021-01-08,Fixed-Price Contract,MEX,TX
TRX02817,Lawson PLC,3990942.13,Department of Education,2021-08-08,Cost-Reimbursement Contract,USA,CA
TRX02818,"Kane, Rodriguez and Murray",3474155.22,Department of Agriculture,2023-02-06,Cost-Reimbursement Contract,MEX,OH
TRX02819,Hughes Group,3082099.5,Department of Health and Human Services,2022-02-02,Fixed-Price Contract,USA,TX
TRX02820,Williams PLC,1705228.82,NASA,2022-05-07,Cost-Reimbursement Contract,USA,OH
TRX02821,Knox Group,790731.34,NASA,2022-09-29,Indefinite Delivery Contract,USA,PA
TRX02822,Mcdaniel-Mendoza,4266730.4,NASA,2022-07-28,Cost-Reimbursement Contract,USA,MI
TRX02823,Williams Inc,4608225.32,NASA,2021-08-01,Cost-Reimbursement Contract,CAN,PA
TRX02824,Goodwin-Johnson,3532822.5,Department of Transportation,2021-12-05,Indefinite Delivery Contract,MEX,CA
TRX02825,Carson Group,520260.16,Department of Energy,2022-03-11,Fixed-Price Contract,USA,CA
TRX02826,"Turner, Bryant and Moyer",1665237.26,Department of Health and Human Services,2022-02-16,Indefinite Delivery Contract,USA,PA
TRX02827,"Gillespie, Green and Jordan",3411005.15,Department of Transportation,2021-01-06,Fixed-Price Contract,USA,TX
TRX02828,"Wright, Valdez and Rowland",107157.78,Department of Defense,2023-03-10,Fixed-Price Contract,USA,MI
TRX02829,Osborne and Sons,4958741.3,NASA,2023-06-21,Fixed-Price Contract,USA,VA
TRX02830,"Williams, Foster and Fowler",1480742.33,Department of Defense,2022-11-04,Time-and-Materials Contract,MEX,OH
TRX02831,Petty LLC,1540194.35,Department of Defense,2022-10-11,Time-and-Materials Contract,USA,CA
TRX02832,Hill-Richardson,879132.64,Department of Defense,2023-02-04,Indefinite Delivery Contract,CAN,NY
TRX02833,Mccoy-Baldwin,4460467.97,Department of Defense,2021-08-04,Cost-Reimbursement Contract,MEX,NC
TRX02834,"Hoover, Pena and Ramos",2986865.34,Department of Agriculture,2024-02-20,Indefinite Delivery Contract,CAN,NC
TRX02835,Austin-Elliott,4178936.17,Department of Transportation,2021-06-08,Time-and-Materials Contract,MEX,GA
TRX02836,Watts and Sons,262004.8,Department of Health and Human Services,2022-01-03,Fixed-Price Contract,MEX,VA
TRX02837,"Crane, Welch and Gardner",2253007.63,Department of Health and Human Services,2021-12-13,Cost-Reimbursement Contract,USA,OH
TRX02838,Knight-Torres,2402108.88,NASA,2023-12-21,Cost-Reimbursement Contract,USA,OH
TRX02839,"Little, Kim and Davis",3194517.98,Department of Health and Human Services,2021-10-31,Time-and-Materials Contract,CAN,VA
TRX02840,Mcknight Inc,3122123.5,Department of Education,2023-04-22,Time-and-Materials Contract,MEX,VA
TRX02841,"Williams, White and Giles",846919.7,Department of Agriculture,2022-12-23,Cost-Reimbursement Contract,MEX,NC
TRX02842,Meza Inc,4985185.38,Department of Transportation,2021-04-18,Indefinite Delivery Contract,MEX,PA
TRX02843,Williams LLC,2878673.0,Department of Transportation,2021-02-27,Time-and-Materials Contract,MEX,TX
TRX02844,"Brown, Melendez and Hoffman",112732.8,Department of Agriculture,2021-06-18,Cost-Reimbursement Contract,MEX,VA
TRX02845,Hayes-Norton,3622373.1,Department of Transportation,2021-05-05,Time-and-Materials Contract,MEX,FL
TRX02846,"Phillips, Rosales and Sosa",22791.34,Department of Education,2023-08-15,Time-and-Materials Contract,USA,GA
TRX02847,"Harrison, Bailey and Johnson",888339.01,Department of Agriculture,2024-02-01,Fixed-Price Contract,MEX,VA
TRX02848,King-Padilla,3328989.11,Department of Health and Human Services,2024-03-02,Fixed-Price Contract,MEX,NC
TRX02849,"Benton, Rodriguez and Turner",4681517.01,Department of Education,2021-09-11,Fixed-Price Contract,MEX,NC
TRX02850,Hansen Inc,2094036.79,Department of Health and Human Services,2022-03-22,Fixed-Price Contract,USA,OH
TRX02851,"Cruz, Lambert and Mcintosh",4852529.54,Department of Energy,2022-03-14,Time-and-Materials Contract,USA,NC
TRX02852,"Taylor, Rice and Roberson",3931520.97,Department of Health and Human Services,2022-12-07,Cost-Reimbursement Contract,USA,CA
TRX02853,Short PLC,4938528.16,Department of Agriculture,2022-10-01,Time-and-Materials Contract,CAN,GA
TRX02854,Mata Ltd,2574078.12,Department of Defense,2022-04-21,Indefinite Delivery Contract,MEX,FL
TRX02855,Jones-Brown,1880779.47,Department of Transportation,2024-03-28,Time-and-Materials Contract,CAN,OH
TRX02856,Wright-Frost,3388124.4,NASA,2021-12-03,Cost-Reimbursement Contract,MEX,GA
TRX02857,Garrison Inc,1069582.73,Department of Transportation,2022-06-08,Cost-Reimbursement Contract,CAN,VA
TRX02858,Herrera and Sons,3827943.81,NASA,2022-02-05,Cost-Reimbursement Contract,CAN,MI
TRX02859,Morales Inc,2858511.75,Department of Transportation,2023-08-18,Indefinite Delivery Contract,USA,OH
TRX02860,Howell-Allison,3797513.28,Department of Energy,2023-07-05,Time-and-Materials Contract,USA,FL
TRX02861,"Martinez, Mcgee and Williamson",1327072.9,Department of Education,2023-02-22,Fixed-Price Contract,CAN,PA
TRX02862,Ramos and Sons,4510747.85,Department of Education,2023-08-07,Fixed-Price Contract,USA,PA
TRX02863,Montoya-Bush,2644486.36,Department of Transportation,2023-12-12,Fixed-Price Contract,MEX,MI
TRX02864,Mills-Hernandez,1369686.08,NASA,2023-09-15,Fixed-Price Contract,CAN,VA
TRX02865,Mccann-Mcintosh,2804397.82,NASA,2022-06-01,Fixed-Price Contract,MEX,GA
TRX02866,"Nguyen, Ray and Walker",257190.76,Department of Energy,2023-01-31,Cost-Reimbursement Contract,CAN,OH
TRX02867,Ramsey Inc,3508106.22,NASA,2022-02-13,Cost-Reimbursement Contract,MEX,GA
TRX02868,"Carter, Johnson and Graves",2533531.88,Department of Transportation,2021-03-21,Indefinite Delivery Contract,CAN,VA
TRX02869,Jackson-Beard,657000.86,Department of Transportation,2022-01-04,Indefinite Delivery Contract,MEX,NC
TRX02870,"Jones, Nguyen and Watkins",37031.17,NASA,2021-10-18,Cost-Reimbursement Contract,CAN,NY
TRX02871,Miller-West,3013584.11,Department of Energy,2022-09-25,Cost-Reimbursement Contract,CAN,PA
TRX02872,Dunn PLC,784534.55,Department of Transportation,2024-02-14,Cost-Reimbursement Contract,CAN,PA
TRX02873,"Jones, Soto and Cooper",2523361.11,Department of Education,2022-11-26,Fixed-Price Contract,CAN,MI
TRX02874,Warren-Mendoza,2513482.92,Department of Energy,2021-10-10,Cost-Reimbursement Contract,MEX,VA
TRX02875,Quinn-Lopez,953372.05,Department of Health and Human Services,2023-09-26,Indefinite Delivery Contract,MEX,MI
TRX02876,"Harmon, Sanders and Hudson",2799070.75,Department of Agriculture,2022-06-12,Time-and-Materials Contract,USA,TX
TRX02877,Evans-Hobbs,856830.94,Department of Energy,2021-12-19,Indefinite Delivery Contract,CAN,NC
TRX02878,Espinoza-Austin,4759500.41,Department of Agriculture,2022-04-30,Cost-Reimbursement Contract,USA,GA
TRX02879,Smith Inc,2893315.85,Department of Defense,2021-04-28,Time-and-Materials Contract,USA,CA
TRX02880,Campbell-Wright,4956434.41,Department of Education,2022-11-04,Fixed-Price Contract,CAN,CA
TRX02881,"Higgins, Flores and Hobbs",4647547.99,Department of Defense,2021-12-15,Time-and-Materials Contract,USA,FL
TRX02882,"Hayes, Anthony and Phillips",3980634.08,Department of Defense,2022-04-09,Time-and-Materials Contract,CAN,PA
TRX02883,"Vega, Kelley and Silva",1026306.54,Department of Education,2021-12-25,Fixed-Price Contract,USA,MI
TRX02884,Duarte-Watts,1362732.36,Department of Energy,2024-03-11,Cost-Reimbursement Contract,USA,NY
TRX02885,"Lewis, Cisneros and Scott",238492.66,Department of Education,2021-08-04,Cost-Reimbursement Contract,USA,FL
TRX02886,"Smith, Carr and Smith",3716933.47,Department of Energy,2023-02-05,Indefinite Delivery Contract,MEX,CA
TRX02887,Li LLC,1429829.84,NASA,2021-06-21,Cost-Reimbursement Contract,CAN,VA
TRX02888,"Clark, Mcclain and Martinez",241979.47,Department of Defense,2022-04-28,Fixed-Price Contract,CAN,NC
TRX02889,Pham-Gonzalez,4197291.05,Department of Energy,2023-02-13,Cost-Reimbursement Contract,MEX,NC
TRX02890,"Cochran, White and Jackson",3810098.64,Department of Agriculture,2022-04-23,Time-and-Materials Contract,USA,CA
TRX02891,Wood-Montes,3298599.93,Department of Defense,2024-03-08,Cost-Reimbursement Contract,USA,MI
TRX02892,Castro Group,3236301.05,Department of Agriculture,2023-01-24,Indefinite Delivery Contract,USA,NY
TRX02893,Walsh-Porter,2607660.48,Department of Education,2022-03-02,Time-and-Materials Contract,MEX,PA
TRX02894,"Wilson, Johnson and Johnston",4786027.14,Department of Education,2022-02-11,Fixed-Price Contract,MEX,PA
TRX02895,Johnson Ltd,1785283.26,Department of Energy,2023-07-16,Fixed-Price Contract,USA,FL
TRX02896,Cooper Group,4804831.28,Department of Transportation,2023-09-24,Cost-Reimbursement Contract,CAN,GA
TRX02897,Huber PLC,607812.64,Department of Defense,2023-02-25,Fixed-Price Contract,CAN,OH
TRX02898,Shaw PLC,1007576.55,Department of Agriculture,2021-11-16,Fixed-Price Contract,USA,TX
TRX02899,Stokes Group,1997128.64,NASA,2021-05-30,Fixed-Price Contract,MEX,GA
TRX02900,Sanchez and Sons,3341798.34,Department of Health and Human Services,2023-05-02,Time-and-Materials Contract,MEX,OH
TRX02901,"Smith, Collins and Melton",1796352.08,Department of Defense,2024-01-07,Indefinite Delivery Contract,CAN,NC
TRX02902,Smith-Bates,4059617.49,Department of Defense,2022-10-14,Cost-Reimbursement Contract,CAN,MI
TRX02903,Gonzalez-Simon,4658088.29,Department of Health and Human Services,2021-10-09,Indefinite Delivery Contract,USA,MI
TRX02904,Smith-Ellison,1301345.73,Department of Agriculture,2021-02-19,Fixed-Price Contract,MEX,FL
TRX02905,Neal Inc,622064.31,Department of Transportation,2021-03-01,Cost-Reimbursement Contract,CAN,TX
TRX02906,Lewis Ltd,3449673.62,Department of Transportation,2023-02-15,Cost-Reimbursement Contract,CAN,FL
TRX02907,Morrison-Cain,1558180.14,Department of Health and Human Services,2021-08-19,Indefinite Delivery Contract,USA,FL
TRX02908,Olson Inc,2930682.1,Department of Transportation,2023-01-05,Cost-Reimbursement Contract,CAN,VA
TRX02909,Rice-Jimenez,2875770.48,NASA,2021-04-05,Time-and-Materials Contract,MEX,GA
TRX02910,Nguyen LLC,335049.44,Department of Education,2021-10-27,Cost-Reimbursement Contract,CAN,VA
TRX02911,Hampton Group,1572868.05,Department of Agriculture,2022-09-08,Fixed-Price Contract,MEX,OH
TRX02912,Bird-Cain,1785907.2,Department of Agriculture,2022-06-02,Fixed-Price Contract,USA,GA
TRX02913,"Ortega, Young and Cross",1521689.68,Department of Energy,2022-02-03,Cost-Reimbursement Contract,CAN,VA
TRX02914,Jones-Johnson,2583851.74,Department of Agriculture,2021-07-19,Indefinite Delivery Contract,CAN,TX
TRX02915,Sanchez-Hanson,3958384.79,NASA,2021-05-21,Time-and-Materials Contract,CAN,TX
TRX02916,Salas-Butler,1738460.1,Department of Education,2023-10-04,Indefinite Delivery Contract,MEX,GA
TRX02917,"Miller, Williams and Parker",800636.18,NASA,2022-09-16,Indefinite Delivery Contract,USA,OH
TRX02918,Bowen and Sons,1027647.98,Department of Health and Human Services,2023-06-08,Indefinite Delivery Contract,MEX,NC
TRX02919,"Estrada, Hansen and Robbins",2113416.89,Department of Education,2023-12-14,Fixed-Price Contract,MEX,PA
TRX02920,Berry-Hunter,3515283.64,Department of Transportation,2022-05-20,Fixed-Price Contract,MEX,GA
TRX02921,"Haney, Alvarado and Oneill",754321.53,Department of Health and Human Services,2023-10-06,Fixed-Price Contract,USA,TX
TRX02922,Adams-Miller,393603.47,Department of Transportation,2023-10-04,Cost-Reimbursement Contract,MEX,PA
TRX02923,"Lee, Munoz and Yang",3949071.41,Department of Agriculture,2021-01-21,Time-and-Materials Contract,MEX,NY
TRX02924,Rodriguez-Graham,3212539.52,Department of Health and Human Services,2023-03-26,Fixed-Price Contract,CAN,NY
TRX02925,"Fischer, Miller and Lee",770076.94,Department of Energy,2022-12-08,Indefinite Delivery Contract,MEX,OH
TRX02926,"Smith, Bowen and Maddox",2798960.53,Department of Health and Human Services,2022-05-13,Cost-Reimbursement Contract,MEX,NC
TRX02927,Massey Group,600877.2,Department of Agriculture,2023-06-06,Cost-Reimbursement Contract,CAN,GA
